Title,Link
"Beneath the AGI and Foundational Model Hype, Sober AI Is the Enterprise Default (dbreunig.com)",https://www.dbreunig.com/2024/06/12/sober-ai-is-the-norm.html
Banana giant Chiquita held liable by US court for funding paramilitaries (bbc.com),https://www.bbc.com/news/articles/c6pprpd3x96o
The GJK Algorithm: A weird and beautiful way to do a simple thing (computerwebsite.net),https://computerwebsite.net/writing/gjk
My First Production Bug (robinverschueren.com),https://robinverschueren.com/2024/06/08/my-very-first-production-bug/
"Twenty, a modern CRM alternative to Salesforce (twenty.com)",https://twenty.com
Diffractive Chocolate (arizona.edu),https://wp.optics.arizona.edu/oscoutreach/diffractive-chocolate/
Terence Tao on proof checkers and AI programs (scientificamerican.com),https://www.scientificamerican.com/article/ai-will-become-mathematicians-co-pilot/
"Musk, SpaceX sued by former employees alleging sexual harassment and retaliation (nbcnews.com)",https://www.nbcnews.com/tech/tech-news/musk-spacex-lawsuit-former-employees-sexual-harassment-fired-rcna156854
Spectrum of Covid-19: From Asymptomatic Organ Damage to Long Covid Syndrome (whn.global),https://whn.global/scientific/spectrum-of-covid-19-from-asymptomatic-organ-damage-to-long-covid-syndrome/
Working with utilities to create a new model for clean energy (blog.google),https://blog.google/outreach-initiatives/sustainability/google-clean-energy-partnership/
Lexbor – An open source HTML Renderer library (github.com/lexbor),https://github.com/lexbor/lexbor
Wild elephants may have names that other elephants use to call them (npr.org),https://www.npr.org/2024/06/07/nx-s1-4994426/wild-elephants-individual-names
"Major oil surplus seen this decade as demand peaks, IEA says (bnnbloomberg.ca)",https://www.bnnbloomberg.ca/major-oil-surplus-seen-this-decade-as-demand-hits-peak-iea-says-1.2084118
Show HN: Semantic clusters and embeddings for 500k Hacker News comments (airtrain.ai),https://app.airtrain.ai/dataset/eb91081f-2003-494f-bd5d-084104db01f1/null/1/0
Minuimus is a file optimiser utility script (birds-are-nice.me),https://birds-are-nice.me/software/minuimus.html
Beyond the wall: Working with aperiodic tilings using finite-state transducers (greenend.org.uk),https://www.chiark.greenend.org.uk/~sgtatham/quasiblog/aperiodic-transducers/
"Star botanist likely made up data about nutritional supplements, new probe finds (science.org)",https://www.science.org/content/article/star-botanist-likely-made-data-about-nutritional-supplements-new-probe-finds
Serious Sam handled massive amounts of enemies on 56k modem connections (staniks.github.io),https://staniks.github.io/articles/serious-engine-networking-analysis
New Stable Diffusion 3 unable to generate human bodies due to nudity filter (arstechnica.com),https://arstechnica.com/information-technology/2024/06/ridiculed-stable-diffusion-3-release-excels-at-ai-generated-body-horror/
Study finds juvenile dolphins who play together are more successful as adults (phys.org),https://phys.org/news/2024-06-juvenile-dolphins-play-successful-adults.html
Launch HN: Overwatch (YC S22): OSINT platform for cyber and fraud risk,item?id=40659236
How Meta trains large language models at scale (fb.com),https://engineering.fb.com/2024/06/12/data-infrastructure/training-large-language-models-at-scale-meta/
"Apple to 'Pay' OpenAI for ChatGPT Through Distribution, Not Cash (bloomberg.com)",https://www.bloomberg.com/news/articles/2024-06-12/apple-to-pay-openai-for-chatgpt-through-distribution-not-cash
Designing a website without 404s (pillser.com),https://pillser.com/engineering/2024-06-10-website-without-404s
How to get the most out of Postgres memory settings (tembo.io),https://tembo.io/blog/optimizing-memory-usage
What Do Google's AI Answers Cost the Environment? (scientificamerican.com),https://www.scientificamerican.com/article/what-do-googles-ai-answers-cost-the-environment/
Japan enacts law to promote competition in smartphone app stores (kyodonews.net),https://english.kyodonews.net/news/2024/06/bc2d7f45d456-japan-enacts-law-to-curb-apple-googles-app-dominance.html#google_vignette
Spilo: High Availability PostgreSQL cluster using Docker (github.com/zalando),https://github.com/zalando/spilo
Bitcoin miners at Trump's event say he thinks Bitcoin can help win AI arms race (cnbc.com),https://www.cnbc.com/2024/06/13/donald-trump-says-he-wants-all-future-bitcoin-to-be-mined-in-the-us.html
Designing the avocado of uncertainty visualization (stamen.com),https://stamen.com/designing-the-avocado-of-uncertainty/
Swift Static Linux SDK (swift.org),https://www.swift.org/documentation/articles/static-linux-getting-started.html
Memory sealing for the GNU C Library (lwn.net),https://lwn.net/SubscriberLink/978010/ed33ef897329d9e1/
Taboos and self-censorship among U.S. psychology professors (sagepub.com),https://journals.sagepub.com/doi/10.1177/17456916241252085
Lawyer accused of seeking Israeli hackers to obtain judge's personal emails (abajournal.com),https://www.abajournal.com/news/article/lawyer-accused-of-seeking-israeli-hackers-to-obtain-judges-personal-emails
Accessing Math Solutions via Monte Carlo Self-Refine with LLaMa-3 8B (arxiv.org),https://arxiv.org/abs/2406.07394
